id,title,description,date,venue,ticket_price,category,capacity_max,image_url,status,organizer_id,created_at
19,Bamenda Music Festival 2025 #8505,"Experience Bamenda's most exciting music festival of 2025.

Guy like raise activity. Provide expert back return final hotel. Story military sense knowledge value early cultural let. Thing leader get nice center culture. Student race manager particularly. And response student source open executive would. Pattern member help religious drop protect culture.",2025-11-13 18:57:00.534981,"Wright, Pacheco and Garza Hall, Bamenda",8400.0,Music,395,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?auto=format&fit=crop&w=600&q=80,Approved,1,2025-08-04 21:59:32.527816
20,Innovation Hackathon 2025 #9173,"Join teams at Schneider LLC Hall, Bafoussam in Bafoussam to build the future.

Peace raise how body country spring. Law resource hot material safe memory along.",2025-10-31 01:04:51.739809,"Schneider LLC Hall, Bafoussam",19100.0,Tech,413,https://images.unsplash.com/photo-1497032628192-86f99bcd76bc?auto=format&fit=crop&w=600&q=80,Approved,1,2025-09-29 04:37:39.667023
21,"Startup Pitch Night at Barrera, Vargas and Ward Hall, Garoua #9921","Watch startups pitch groundbreaking ideas at Barrera, Vargas and Ward Hall, Garoua in Garoua.

Ahead song today blue exactly leg organization cut. Somebody likely heavy economic suffer science know. Responsibility other soon behavior laugh. Parent change sense green.",2025-09-30 02:52:14.526004,"Barrera, Vargas and Ward Hall, Garoua",16100.0,Business,287,https://images.unsplash.com/photo-1521737604893-d14cc237f11d?auto=format&fit=crop&w=600&q=80,Approved,1,2025-09-28 18:40:03.800737
22,Gallery Showcase: Jaime Turner Collection #7489,"A night of creativity featuring the works of David Young.

Guess middle various fund over per. Specific within once kid carry single. Small great theory shake. Push adult knowledge. Yourself magazine laugh leg between success where. Even each dark eat save task thousand. Baby each clearly.",2025-10-20 07:36:23.239847,"Holden-Case Hall, Douala",6300.0,Art,183,https://images.unsplash.com/photo-1505678261036-a3fcc5e884ee?auto=format&fit=crop&w=600&q=80,Approved,1,2025-09-05 00:19:00.492140
23,Friendly Match: mouth vs berg #4906,"Catch the excitement as shire takes on stad at White Ltd Hall, Buea.

Anyone determine need understand quality. Difficult long budget throughout behind. Well father part.",2025-10-27 07:47:49.450659,"White Ltd Hall, Buea",9700.0,Sport,155,https://images.unsplash.com/photo-1521412644187-c49fa049e84d?auto=format&fit=crop&w=600&q=80,Approved,1,2025-09-10 12:50:50.468497
24,"Startup Pitch Night at Hernandez and Sons Hall, Bamenda #3119","Watch startups pitch groundbreaking ideas at Hernandez and Sons Hall, Bamenda in Bamenda.

More fight brother president within sound. Research late only activity try respond. Need feel source evidence believe. By body pattern age nature door stage. Phone eight clear win choose. Song above forget. Air partner thus carry. Sound bring local just TV offer.",2025-10-03 22:42:51.909447,"Hernandez and Sons Hall, Bamenda",13900.0,Business,103,https://images.unsplash.com/photo-1521737604893-d14cc237f11d?auto=format&fit=crop&w=600&q=80,Approved,1,2025-09-11 14:43:45.479119
25,Buea Investors Roundtable #5383,"Meet investors and entrepreneurs to discuss growth opportunities.

Up student teacher great stuff. Camera president television way seem.",2025-10-25 17:25:58.204857,"Tanner-Garcia Hall, Buea",9600.0,Business,336,https://images.unsplash.com/photo-1521737604893-d14cc237f11d?auto=format&fit=crop&w=600&q=80,Approved,1,2025-09-13 07:05:35.161675
26,"Sports Gala Night at Stanley Ltd Hall, Garoua #9943","A celebration of sporting excellence in Garoua.

Door garden offer consider add party. Them spend line. Him every stay describe thus back east. As many up increase political. Road beyond between even enjoy carry daughter.",2025-12-19 12:02:58.743458,"Stanley Ltd Hall, Garoua",5300.0,Sport,214,https://images.unsplash.com/photo-1517649763962-0c623066013b?auto=format&fit=crop&w=600&q=80,Approved,1,2025-08-04 03:55:13.374825
27,Jazz Night Live #1636,"A smooth evening of live jazz music in Maroua.

Wife indeed despite. Wall ability age need debate project them front. Across mother soon bar. The the state however local. Cold positive during realize action. Alone kitchen forward. By conference accept coach watch play draw. Personal model history rest.",2025-11-28 15:18:58.084963,"Nguyen-Barton Hall, Maroua",0.0,Music,378,https://images.unsplash.com/photo-1470225620780-dba8ba36b745?auto=format&fit=crop&w=600&q=80,Approved,1,2025-08-17 18:42:04.177140
28,Gallery Showcase: John Nguyen Collection #4087,"A night of creativity featuring the works of Monica Villarreal.

Short Republican base economy. Data whom through several. Television than end prove. Subject explain most check. Listen nearly but ten during class.",2025-11-23 11:53:37.807067,"Franklin Ltd Hall, Maroua",0.0,Art,353,https://images.unsplash.com/photo-1505678261036-a3fcc5e884ee?auto=format&fit=crop&w=600&q=80,Approved,1,2025-08-28 19:14:39.042786
29,Cycling Tour of Ngaoundere #5070,"A thrilling cycling race across the city streets.

Three become item. Democratic share majority create despite above. May break history believe.",2025-11-07 00:37:08.748028,"Barrera-Chavez Hall, Ngaoundere",13500.0,Sport,55,https://images.unsplash.com/photo-1504384308090-c894fdcc538d?auto=format&fit=crop&w=600&q=80,Approved,1,2025-09-13 14:25:44.572604
30,"Cultural Gala Night at Hardy-Davenport Hall, Douala #5943","A colorful evening celebrating tradition and art.

Hope economic list each court. Teach old message provide weight. Follow help draw another cup.",2025-10-14 06:40:26.968986,"Hardy-Davenport Hall, Douala",0.0,Art,58,https://images.unsplash.com/photo-1511765224389-37f0e77cf0eb?auto=format&fit=crop&w=600&q=80,Approved,1,2025-09-20 07:04:50.069276
31,Live Concert: Kelley PLC in Bertoua #6683,"Join us for an unforgettable live concert in Bertoua, featuring Phillips Group!

Several four finish product add south. Including focus a office old. Course evidence manager movie trade fly discuss. Mr very run may street despite oil. Much industry miss just yeah.",2025-11-15 20:01:21.434445,"Moon Ltd Hall, Bertoua",0.0,Music,308,https://images.unsplash.com/photo-1507874457470-272b3c8d8ee2?auto=format&fit=crop&w=600&q=80,Approved,1,2025-09-22 07:09:58.265931
32,"Acoustic Night at Gibson Ltd Hall, Bafoussam #3544","Relax with soulful acoustic performances at Gibson Ltd Hall, Bafoussam in Bafoussam.

Allow population require win wide seat. Easy red trouble understand lay where. Talk toward because computer edge wife father. Relate wear or participant key clearly democratic minute. Necessary everything leader enough two.",2025-12-16 09:17:07.548126,"Gibson Ltd Hall, Bafoussam",6500.0,Music,317,https://images.unsplash.com/photo-1507874457470-272b3c8d8ee2?auto=format&fit=crop&w=600&q=80,Approved,1,2025-08-13 21:10:21.902849
33,"Cultural Gala Night at Davis Group Hall, Bafoussam #2856","A colorful evening celebrating tradition and art.

Size much sound too recently. My your two study resource knowledge. Computer agency sister country. Raise space morning difficult rest various. Partner Congress under many goal. Later baby page address level together participant.",2025-10-18 11:38:27.982679,"Davis Group Hall, Bafoussam",12000.0,Art,252,https://images.unsplash.com/photo-1487412912498-0447578fcca8?auto=format&fit=crop&w=600&q=80,Approved,1,2025-09-02 02:44:35.037064
34,"Developers Meetup at Miller-Smith Hall, Bertoua #2243","An informal gathering of developers, coders, and techies.

Authority he sort order time brother street.",2025-10-11 21:47:59.473096,"Miller-Smith Hall, Bertoua",1400.0,Tech,372,https://images.unsplash.com/photo-1552566626-52f8b828add9?auto=format&fit=crop&w=600&q=80,Approved,1,2025-08-28 20:03:42.045232
35,Innovation Hackathon 2025 #5240,"Join teams at Cole-Rosario Hall, Bertoua in Bertoua to build the future.

Certainly site before large animal management human. Big us ago would I. Talk guess popular cover. Result enjoy company news explain whatever tonight. Everyone bit chair send investment beautiful. When carry feeling book.",2025-11-16 05:36:12.482506,"Cole-Rosario Hall, Bertoua",13700.0,Tech,487,https://images.unsplash.com/photo-1522202176988-66273c2fd55f?auto=format&fit=crop&w=600&q=80,Approved,1,2025-08-06 11:54:28.593611
36,"Developers Meetup at Reyes-Murphy Hall, Maroua #5890","An informal gathering of developers, coders, and techies.

Stuff star stuff soldier walk site. Economy keep television help. Believe conference land strategy culture remain nor.",2025-10-04 01:04:06.418480,"Reyes-Murphy Hall, Maroua",10300.0,Tech,400,https://images.unsplash.com/photo-1552566626-52f8b828add9?auto=format&fit=crop&w=600&q=80,Approved,1,2025-08-18 01:31:19.207298
37,Afrobeat Vibes 2025 – Buea #5022,"Dance to the rhythm of Afrobeat in the heart of Buea.

Finally writer mention. Trial identify majority too technology water. Scene director brother member return. Start maintain half design according.",2025-11-07 05:50:37.085894,"Murphy-Henderson Hall, Buea",16900.0,Music,383,https://images.unsplash.com/photo-1504805572947-34fad45aed93?auto=format&fit=crop&w=600&q=80,Approved,1,2025-09-07 22:24:12.174956
38,Leadership Summit 2025 – Ebolowa #4248,"Leaders come together in Ebolowa to discuss the future of business.

Blue other about kind create probably bag. Blood still almost white prove central.",2025-11-03 00:09:08.747619,"Sawyer-Hanna Hall, Ebolowa",0.0,Business,125,https://images.unsplash.com/photo-1521791136064-7986c2920216?auto=format&fit=crop&w=600&q=80,Approved,1,2025-08-27 17:29:59.651103
39,Friendly Match: port vs fort #4308,"Catch the excitement as stad takes on view at West, Haynes and Hill Hall, Bafoussam.

Nothing answer first job fish guy best issue. Others dog generation easy.",2025-12-16 17:15:21.531560,"West, Haynes and Hill Hall, Bafoussam",16500.0,Sport,133,https://images.unsplash.com/photo-1521412644187-c49fa049e84d?auto=format&fit=crop&w=600&q=80,Approved,1,2025-09-21 09:17:32.229919
40,Jazz Night Live #1721,"A smooth evening of live jazz music in Bafoussam.

Way miss do ready change politics goal. Walk heavy forward rule often. Start court sell member finally reveal media couple. Wall near avoid reason amount budget or.",2025-10-12 22:40:54.679497,"Smith, Ball and Aguirre Hall, Bafoussam",11900.0,Music,167,https://images.unsplash.com/photo-1470225620780-dba8ba36b745?auto=format&fit=crop&w=600&q=80,Approved,1,2025-08-12 13:13:03.673715
41,Bafoussam Championship Finals #1122,"Feel the adrenaline at the championship finals happening in Bafoussam!

Important main former sometimes build along. Family far act again from parent former. International address current bank day the end cup. Time administration increase age approach figure thus. Policy maintain professional life after human hand fear. Beautiful close story player short.",2025-11-11 06:28:26.815891,"Brady, Ramos and Fry Hall, Bafoussam",15300.0,Sport,60,https://images.unsplash.com/photo-1517649763962-0c623066013b?auto=format&fit=crop&w=600&q=80,Approved,1,2025-09-22 23:15:19.376417
42,"Startup Pitch Night at Smith Inc Hall, Bafoussam #3129","Watch startups pitch groundbreaking ideas at Smith Inc Hall, Bafoussam in Bafoussam.

Operation case part actually special full crime mention. Two follow figure professional.",2025-11-15 19:26:24.154882,"Smith Inc Hall, Bafoussam",9400.0,Business,89,https://images.unsplash.com/photo-1504384308090-c894fdcc538d?auto=format&fit=crop&w=600&q=80,Approved,1,2025-09-05 09:48:05.266784
43,Ngaoundere Championship Finals #1712,"Feel the adrenaline at the championship finals happening in Ngaoundere!

Character spend likely land painting. Standard shoulder great. Politics new pattern off they hundred issue. Whatever source member wrong choose. Send another growth just property. Fear entire power them second. Fast fine newspaper the society. Perform control little.",2025-10-31 23:08:06.942200,"Cowan and Sons Hall, Ngaoundere",9400.0,Sport,180,https://images.unsplash.com/photo-1517649763962-0c623066013b?auto=format&fit=crop&w=600&q=80,Approved,1,2025-08-25 06:24:12.659517
44,"Acoustic Night at Smith-Williams Hall, Ngaoundere #2648","Relax with soulful acoustic performances at Smith-Williams Hall, Ngaoundere in Ngaoundere.

Forget detail we yeah ground. Determine machine political main. Do tax detail behavior.",2025-11-22 07:35:06.959818,"Smith-Williams Hall, Ngaoundere",15300.0,Music,88,https://images.unsplash.com/photo-1507874457470-272b3c8d8ee2?auto=format&fit=crop&w=600&q=80,Approved,1,2025-09-04 09:59:07.944727
45,Gallery Showcase: Austin Patton Collection #7890,"A night of creativity featuring the works of Bryan Parks.

Her sing good throw. Hope meeting follow happen already with. Body this outside least PM physical.",2025-11-22 17:36:25.857190,"Stone-Rodriguez Hall, Yaoundé",11600.0,Art,100,https://images.unsplash.com/photo-1505678261036-a3fcc5e884ee?auto=format&fit=crop&w=600&q=80,Approved,1,2025-08-14 02:15:57.370688
46,Gallery Showcase: Anthony Griffith Collection #1236,"A night of creativity featuring the works of Deanna Wilson.

Foot watch far decide institution. Will few democratic young control time street spring. What current yes believe common education. Over require card moment yeah manage. Laugh agency great partner music. Nor four action do. City fund wear begin.",2025-11-04 20:29:23.725973,"Parker, Williams and Gamble Hall, Bamenda",4200.0,Art,336,https://images.unsplash.com/photo-1505678261036-a3fcc5e884ee?auto=format&fit=crop&w=600&q=80,Approved,1,2025-09-05 16:23:06.364300
47,Friendly Match: fort vs burgh #7603,"Catch the excitement as stad takes on shire at Campbell-Carpenter Hall, Ngaoundere.

Show finish economy land teach. During Congress bit play can fear identify. Civil now top.",2025-11-11 05:36:31.556541,"Campbell-Carpenter Hall, Ngaoundere",0.0,Sport,185,https://images.unsplash.com/photo-1521412644187-c49fa049e84d?auto=format&fit=crop&w=600&q=80,Approved,1,2025-09-08 21:29:02.425578
48,Startup Demo Day 2025 #6669,"See the hottest new startups showcase their products in Yaoundé.

Together mention street worry. Star before if front government. Shake situation election audience produce modern while cell. Draw amount film remain.",2025-12-02 03:03:39.626249,"Ball and Sons Hall, Yaoundé",0.0,Tech,346,https://images.unsplash.com/photo-1519389950473-47ba0277781c?auto=format&fit=crop&w=600&q=80,Approved,1,2025-08-13 08:41:44.984947
49,Art Exhibition: Breanna Gilbert & Friends #8129,"Explore a collection of stunning artworks by Charles Holloway in Yaoundé.

Part past respond left wall now. Three conference upon sea model. Suddenly far point. Add remain past likely card rest building. Subject quality into buy alone leave explain. Direction seven voice analysis make make lawyer thank. Beautiful born maintain major back benefit cup.",2025-12-17 03:27:04.331547,"Ramirez, Hampton and Howard Hall, Yaoundé",5500.0,Art,431,https://images.unsplash.com/photo-1505664063603-28e48ca204eb?auto=format&fit=crop&w=600&q=80,Approved,1,2025-09-10 12:03:24.104676
50,Bamenda International Marathon 2025 #1424,"Run through the streets of Bamenda in this year's marathon event.

Several man job brother. Order actually admit debate real. Property letter outside hope himself bank factor. Cultural when moment theory father letter ball enough. Keep push leader cell some service.",2025-10-06 21:45:56.890220,"Little-Brown Hall, Bamenda",16500.0,Sport,92,https://images.unsplash.com/photo-1461896836934-ffe607ba8211?auto=format&fit=crop&w=600&q=80,Approved,1,2025-09-02 10:38:10.104373
